Beat,BeatPortion,HandRight.Y,Time
0,0.491570541259983,0.09,18.309
0,0.5235137533274167,0.12,18.345
0,0.5519077196095816,0.14,18.377
0,0.5820763087843841,0.16,18.411
0,0.6175687666370896,0.18,18.451
0,0.6450754214729358,0.2,18.482
0,0.6734693877551009,0.21,18.514
0,0.7062999112688533,0.24,18.551
0,0.7338065661047027,0.26,18.582
0,0.7657497781721364,0.27,18.618
0,0.7941437444543014,0.29,18.65
0,0.8251996450754194,0.3,18.685
0,0.8535936113575844,0.32,18.717
0,0.8881987577639743,0.33,18.756
0,0.9121561668145519,0.34,18.783
0,0.9440993788819856,0.35,18.819
0,0.971606033717835,0.35,18.85
1,0.0,0.36,18.882
0,0.0438502673796758,0.36,18.923
0,0.07379679144384936,0.35,18.951
0,0.10802139037433073,0.34,18.983
0,0.14545454545454484,0.33,19.018
0,0.17860962566844735,0.31,19.049
0,0.2149732620320826,0.29,19.083
0,0.2524064171122967,0.26,19.118
0,0.2930481283422436,0.24,19.156
0,0.32085561497325943,0.21,19.182
0,0.35828877005347354,0.18,19.217
0,0.39358288770053373,0.15,19.25
0,0.42673796791443624,0.12,19.281
0,0.46631016042780804,0.08,19.318
0,0.5005347593582894,0.06,19.35
0,0.5358288770053459,,19.383
0,0.5743315508021388,,19.419
0,0.6064171122994663,-0.05,19.449
0,0.6417112299465226,-0.08,19.482
0,0.6791443850267368,-0.14,19.517
0,0.7144385026737969,-0.13,19.55
0,0.7475935828876995,-0.18,19.581
0,0.7914438502673791,-0.2,19.622
0,0.8203208556149738,-0.23,19.649
0,0.8556149732620302,-0.26,19.682
0,0.8930481283422443,-0.28,19.717
0,0.9283422459893045,-0.3,19.75
0,0.9657754010695186,-0.31,19.785
1,0.0,-0.32,19.817
1,0.0,-0.32,19.852
1,0.0,-0.32,19.887
0,0.027385159010599704,-0.32,19.918
0,0.0556537102473489,-0.32,19.95
0,0.08745583038869292,-0.3,19.986
0,0.11572438162544212,-0.29,20.018
0,0.1439929328621913,-0.27,20.05
0,0.17667844522968168,-0.25,20.087
0,0.20318021201413503,-0.23,20.117
0,0.23233215547703057,-0.2,20.15
0,0.2650176678445241,-0.18,20.187
0,0.29416961130741964,-0.14,20.22
